Question,Answer
"Platypuses are venomous.
",True
"Platypuses use this method to detect their prey.
",They use electrolocation.
"What is the normal life span of a platypus in the wild?
",Up to 11 years
"Which of these statements is true about the diet of the platypus?
",Platypuses are carnivores.
"The platypus needs to eat around 10% of its own weight every day.
",False
"What is the normal body temperature of a healthy platypus?
",About 32Â°C
"What geographical region are chinchillas native to?
",South America
"How is the chinchilla classified according to the peak of its activeness throughout the day?
",Crepuscular
"What type of food do chinchillas prefer to feed on in the wild?
",All of these
"What name is used for the social groups that chinchillas form when living in the wild?
",Herds
"What chinchilla species has become extinct as a result of fur hunting?
",Giant Chinchilla
"In which of these studies are chinchillas used as animal models?
",Studies of the auditory system
"If the ears of a chinchilla turn red, it is a sign of this condition.
",Overheating
"What kind of sounds do baby chinchillas produce in order to show their parents that they are hungry?
",Chirps
"What is the literal translation of the word lanigera in the name of the chinchilla species Chinchilla lanigera?
",Wearing a woolen coat
"This cat breed, developed by American breeder Ann Baker, is large and has blue eyes and soft fluffy coat with point coloration.
",Ragdoll
"This large cat breed, created in the United States, has rabbit-like fur of medium length, rectangular body, and a fatty pad in the lower abdomen.
",Ragamuffin
"This cat breed occurred naturally, most probably in Egypt. It has silky short fur with special ticked coloration.
",Abyssinian
"This very old cat breed, which occurred naturally in Turkey, has a slender body with medium length fur, usually white.
",Turkish Angora
"This cat breed, which appeared naturally in Thailand, has a slim body and short fur with point coloration.
",Siamese
"This hairless cat breed originated in Russia.
",All of these
"This cat breed occurred in Thailand, has very slim elongated body, short fur and very large ears.
",Oriental Shorthair
"This exotic cat breed was developed in Kenya by crossbreeding between a Serval and a domestic cat.
",Savannah
"This cat breed with curly hair appeared as a natural mutation in the United States.
",LaPerm
"What cat breed, which originated in France, has thick waterproof grey fur, gold-colored eyes and large muscular body?
",Chartreux
"To what geographic area is the ostrich native?
",Africa
"The feathers of adult male ostriches are primarily of this color.
",Black
"How many toes do ostriches have?
",Two toes
"What important internal organ does the ostrich lack?
",Gallbladder
"What defense method do ostriches use when they are attacked or feel threatened?
",Kicking
"What does the diet of ostriches consist of?
",All of these
"What unusual anatomical feature does the male ostrich possess?
",It has a copulatory organ.
"Which is the largest subspecies of ostrich on the planet?
",Red-necked Ostrich
"Unlike other ostriches, this subspecies of ostrich has small feathers on its head.
",Masai Ostrich
"Which subspecies of ostrich became extinct around 1966?
",Middle Eastern Ostrich
"What are the anatomical differences between African elephants and Asian elephants?
",All of these
"Which elephant subspecies is the largest on the planet?
",Savanna Elephant
"Which is the smallest elephant subspecies on the planet?
",Sumatran Elephant
"What elephant species has two fingerlike projections at the end of its trunk?
",African Elephant
"The tusks of mature elephants stop growing when the animal reaches a certain age.
",False
"What does the diet of elephants mostly consist of?
",Grasses
"What statement is true about elephants mammary glands?
",They have one pair of mammary glands.
"How long does the gestation period of elephants last?
",22 months
"How do elephants protect their skin from the aggressive UV-radiation?
",By wallowing in mud
"Why isnt the baby elephant able to control its trunk?
",Because it lacks muscle tone
"Cockroaches belong to the order Blattaria. What is the meaning of the Latin word blatta?
",Cockroach
"Apart from the American cockroach, what other cockroach species is among the best-known pests?
",All of these
"What type of animal is the cockroach when classified according to the peak of its activeness?
",Nocturnal
"Which of these statements is true about the anatomy of cockroaches?
",All of these
"Which of these statements is true about cockroaches?
",They have two pairs of wings and six legs.
"What kind of interesting noise are cockroaches known to produce when they feel threatened?
",Hissing
"What organs do cockroaches use for the purpose of respiration?
",Tracheae
"Which of these statements is true about the reproduction of cockroaches?
",All of these
"How are cockroaches classified according to the way they deliver their young?
",All of these
"Which of these statements is true about the cockroaches ability to survive in hard times?
",All of these
"The pregnancy of this animal lasts from 2 to 3 years depending on the altitude it inhabits.
",Alpine Salamander
"These animals are usually monogamous and both parents take care of their young.
",Swans
"For which of these animals is the following description true: The gestation period lasts 35â€“58 days. Smaller species have 5-6 babies, and larger species - 3-4 babies. The young are born blind.
",Hedgehog
"Which of the following statements is true about scorpions?
",They give birth to their young one by one.
"The Gastric-brooding frog is an extinct species that is famous for this unique way of incubating its eggs.
",The mother swallows the eggs and incubates them inside her stomach.
"Which of these statements is true about the Jacksons Chameleon?
",It gives birth to 8-30 live young.
"Which of these statements is true about the Echidna, an egg-laying mammal?
",The female lays 1 egg which she incubates in her pouch.
"Which of these statements is true about the German cockroach?
",All of these
"Which of these statements is true about the Seahorse?
",All of these
"Which of these statements is true about the King Penguin?
",All of these
"What name is commonly used to refer to the guinea pig?
",Cavy
"How many times per year is a healthy female guinea pig able to give birth?
",Five times
"What geographic area did the guinea pig originate from?
",South America
"What term is commonly used to refer to the young of the guinea pig?
",Pups
"What type of food does the guinea pig naturally feed on?
",Grass
"The guinea pig is unable to produce this substance in its own body and gets it from its food.
",Vitamin C
"What plant is poisonous for guinea pigs and should never be offered to them?
",All of these
"In this 2009 Walt Disney action comedy movie the main characters are guinea pigs.
",G-Force
"What actor voiced the guinea pig character called Rodney in the 1998 comedy movie Dr. Dolittle?
",Chris Rock
"The representatives of what guinea pig breed have extremely long hair that never stops growing all over their bodies?
",Peruvian
"To what continent are raccoons native?
",North America
"Captive raccoons are known for performing this vacuum activity.
",Dousing their food
"Which of these regarding the reproduction of raccoons is correct?
",Pregnancy can last from 54 to 70 days.
"What animal is a major predator for wild raccoons?
",All of these
"Raccoons are omnivorous animals but they have a preference for this type of food.
",Fruits and nuts
"What is the most important sense for raccoons?
",Sense of touch
"Why is it not recommended to be keep raccoons as pets?
",They can be aggressive.
"What have raccoons been mostly hunted for throughout history?
",Their fur
"What popular cartoon character from a 1995 animated movie keeps a raccoon as a pet?
",Pocahontas
"Studies of raccoons intelligence have shown that raccoons are capable of performing this activity.
",Opening locks
"The Ramphotyphlops braminus, a harmless blind snake species, found in Africa and Asia, is often mistaken for this animal.
",Earthworm
"How are the young Box turtles classified according to their diet, which differs from the diet of mature Box turtles?
",Carnivores
"What distinctive feature is characteristic of the crocodile species called gharial, or Indian gavial?
",Narrow snout
"How did the glass lizard, also known as glass snake, get its interesting name?
",It breaks easily.
"What other common name is used for the New Caledonian bumpy gecko, a reptile found only on the southern end of the island of New Caledonia?
",Gargoyle gecko
"This snake, the only existing member of its family, can be found in Mexico and has a very muscular body and a shovel-shaped snout.
",Loxocemidae bicolor
"What is unique about the reptile called tuatara, which is endemic to New Zealand and is sometimes called living fossils?
",It is able to hear though it has no ears.
"What feature of the turtle species Dermochelys coriacea makes it easily distinguishable from all the other sea turtles?
",It has no shell.
"In what geographical area is the Rock monitor lizard, or Legavaan, found?
",Africa
"What is the smallest extant species of crocodilian on the planet?
",Musky Caiman
"Where is the natural habitat of sloths?
",Central and South America
"Which of these is true about the sloths diet?
",Sloths are omnivores.
"Sloths have this number of toes and fingers depending on the family they belong to.
",Two or three
"What is the the body length of an average mature sloth from head to tail?
",50-60 centimeters
"How many hours of sleep do sloths normally need per day?
",Less than 10 hours
"About 50% of the weight of a well-fed sloth comprises of the food in its stomach.
",False
"How long does it take for a sloth to digest its food completely?
",A month or more
"Which of these names does not refer to a sloth?
",Rikki-Tikki-Tavi
"How many babies do female sloths give birth to per one pregnancy?
",One
"Which of the following statements is wrong?
",There are seven living species of sloths.
"What type of mammal is the kangaroo?
",Marsupial
"What term is used to refer to the young of the kangaroo?
",Joey
"Which kangaroo species is the largest on the planet?
",Red Kangaroo
"What is the difference between the digestion of kangaroos and the digestion of ruminants?
",Kangaroos do not release methane.
"What does the diet of all kangaroos consist of in general?
",Plant matter
"Apart from jumping, kangaroos are known for fleeing from predators using this tactic.
",Swimming
"What kangaroo species set a record by moving with 64 kilometers per hour (40 mph)?
",All of these
"Male Western Grey Kangaroos were nicknamed Stinkers because they have this kind of odor.
",Curry
"How do male kangaroos fight to win the privilege to fertilize the female?
",All of these
"What is the meaning of the word kangaroo according to legend?
",I dont understand you.
"What other common name is used for a mudpuppy?
",Waterdog
"What type of animal is a mudpuppy?
",salamander
"What is the average lifespan of a mudpuppy?
",11 years
"Mudpuppies breathe through gills when they are young and when they mature they use their lungs.
",False
"Which of these statements is true about the mudpuppy?
",They are nocturnal.
"Mudpuppies are carnivores.
",True
"In which of the following states will you not find the mudpuppy?
",Texas
"Mudpuppies hibernate in the winter months.
",False
"How long is the average mudpuppy?
",13-16 inches
"The mudpuppy can produce noise.
",True
"Wombats are endemic to this geographical area.
",Australia and Tasmania
"How many babies does the female wombat give birth to every spring?
",One
"What unusual anatomical feature do wombats possess?
",Their pouch faces backwards.
"Wombats have an incredibly fast metabolism.
",False
"Which of these wombat species is also known as Coarse-haired Wombat?
",Common Wombat
"What way of defence do wombats use when they feel threatened?
",Kicking
"What is the name of the smallest wombat species on the planet?
",Southern Hairy-nosed Wombat
"What should a person do to escape the attack of a wombat in the wild?
",Climb a tree
"This species, also known as Yaminon, is the largest wombat species on the planet.
",Northern Hairy-nosed Wombat
"On which continent can you find the turltle-dove during most of the year?
",Europe
"Which continent does the turtle-dove migrate to in the colder winter months?
",Africa
"Which of the following statements is true about the turtle-dove?
",They are viewed as a symbol of love.
"What is the expected lifespan of a turtle-dove?
",20 years
"What is the incubation period for turtle-dove eggs?
",12-14 days
"Which of the following makes the turtle-dove different from other birds?
",They suck to drink instead of tilting their heads back.
"The turtle-dove is closely related to the raven.
",False
"What are the main colors of turtle-doves?
",Brown and gray
"The name of the turtle-dove is derived from the sound it produces.
",True
"Turtle-doves tend to eat in their nests and high in the trees.
",False
"Which of these statements is not true about the vision of bats?
",All of these
"What important bone-building mineral do the cartilage of bats finger bones lack, which makes them very flexible?
",Calcium
"What do megabats, also called flying foxes, feed on?
",Fruit and nectar
"How do most bat species spend the cold winter months?
",They hibernate.
"A bat is featured on the coat of arms of this Spanish city.
",All of these
"What status does the bat have in Chinese folklore and tradition?
",It is a symbol of happiness and longevity.
"What city in the US state of Texas is a home of the largest bat colony in North America during the summer?
",Austin
"What name is commonly used when referring to the bat species Vampyrum spectrum, also known as False Vampire Bat?
",Spectral Bat
"What bat species is considered the largest in the world?
",Golden-capped fruit bat
"What other common name is used for the Kittis Hog-nosed Bat, the smallest bat species in the world?
",Bumblebee bat
"During what geological time period did the ammonites evolve?
",The Devonian period
"The nautilus is the closest living relative of the ammonite.
",True
"Name the largest known species of ammonite, which was found in Germany in 1895.
",Parapuzosia seppenradensis
"What is the greatest depth the shell of a nautilus can withstand before imploding?
",800 meters
"Were the shells of all ammonites coiled?
",No
"What is the average lifespan of a nautilus?
",20 years
"Ammonites lived on the ocean floor.
",False
"Ammonites became extinct at the end of what geological period?
",Cretaceous
"What flower remedy would be most beneficial to a stand-offish horse that gets irritated quickly and has a hard time accepting change?
",Beech
"Aspen is beneficial to a horse that is nervous and anxious, shies at invisible objects in a familiar arena and bolts for no reason.
",True
"Rescue remedy is a combination of Rock Rose, Star of Bethlehem, Impatiens, Cherry Plum and Clematis essences.
",True
"All Bach flower remedies can be used by people.
",True
"Up to how many different Bach remedies can you combine?
",7
"The Cerato essence is suitable for horses that withhold their emotions despite suffering from a pain or disease.
",False
"Which of the following is used as a cleansing remedy?
",Crab Apple
"Salix vitellina is the scientific name of this essence usually given to a horse that appears to sulk, goes into moods and refuses any sort of attention.
",Willow
"What kind of animals are the colugos, or cobegos, which is found only in Asia?
",Mammals
"What other name is commonly used for the Japanese Macaque, a monkey native to Japan?
",Snow Monkey
"Which of these Asian tortoise species is a very popular pet in many countries around the world?
",Russian Tortoise
"What is the color of the legs, bill and eye rims of the Green Magpie, a small Asian bird with bright green plumage?
",Red
"To which Asian country is the Giant Panda native?
",China
"What is the name of the smallest bat species on the planet, endemic to the Asian continent?
",Kittis Hog-nosed Bat
"What name is used for the enigmatic bovid mammal Kting Voar, which is believed to populate Cambodia and Vietnam in Asia?
",Snake-eating Cow
"What sense of the Malayan Tapir, also called Asian Tapir, is underdeveloped?
",Eyesight
"How many horns does the Indian Rhinoceros, found only in Asia, have on its snout?
",One
"What is the favorite food of the Fairy-bluebird, which is found only in Asia?
",Figs
"What term is used the denote the terrestrial stage of the development of the young newt?
",Eft
"To what country is the Rhinoderma rufum, a species of frog from the family Rhinodermatidae, endemic?
",Chile
"What is the literal translation of the Greek word amphibios, from which the modern word amphibian originated?
",Both kinds of life
"What interesting characteristic do all amphibians called caecilians share?
",They have no legs.
"What animal does the greater siren, a nocturnal amphibian, resemble externally?
",An eel
"Which of these statements is wrong about the Glass frogs from the amphibian family Centrolenidae?
",They are found mainly in Australia and Tasmania.
"What other interesting name is used commonly to refer to the Purple frog, an amphibian endemic to the Western Ghats in India?
",Pignose Frog
"What does the diet of the Eastern Tiger Salamander mainly consist of?
",Insects
"What behavior is typical of the Argentine horned frog, also known as Argentine wide-mouthed frog?
",It would eat up anything that comes in its eyesight.
"Where does the female Suriname Toad keep its eggs until they develop into young frogs?
",On its back
"How many orders of trilobite are there?
",10
"What order of trilobite was the only one to survive the Devonian mass extinction?
",Proetida
"Approximately how many species of trilobite existed over the duration of the Paleozoic?
","17,000"
"Trilobites developed one of the first complex visual systems.
",True
"Not all trilobites had eyes.
",True
"What genus and species did the largest complete trilobite fossil ever found belong to?
",Isotelus rex
"The pygidium refers to what section of a trilobites body?
",The tail
"Which of the following is believed to be an ancestor of the trilobites?
",Spriggina
"Did some trilobites filter-feed as a means of obtaining food?
",Yes
"To what geographical region is the Aye-aye indigenous?
",Madagascar
"Which of these statements is true about the lemur Aye-aye?
",It is the largest nocturnal primate on the planet.
"What physical feature does the lemur Aye-aye share with rodents, leading to its original classification in order Rodentia?
",Very large incisors
"What unusual physical characteristic does the lemur Aye-aye possess?
",It has extremely long fingers.
"In what places does the nocturnal Aye-aye sleep during the daytime?
",On trees
"Which of these statements is true about the reproduction of the Aye-aye?
",None of these
"Where did the name of the Aye-aye originate from according to common hypothesis?
",All of these
"How is the lemur Aye-aye classified according to its diet?
",Omnivore
"What is the Aye-aye traditionally associated with according to ancient Malagasy legends?
",Death
"What is the name of the Aye-aye character from the 2005 animated comedy movie Madagascar?
",Maurice
"To what geographic area is the koala endemic?
",Australia
"What unique feature do the the fingers of the koala possess?
",They have fingerprints.
"What does the diet of the koala almost exclusively consist of?
",Eucalyptus leaves
"What term is used to refer to the infant koala, as well as to any other baby marsupial?
",Joey
"Which of these statements is true about koalas?
",They were nearly erased from the planet due to hunting in the early 20th century.
"This fictional koala character, created by author Dorothy Wall, fist appeared in the 1933 book Jacko - the Broadcasting Kookaburra.
",Blinky Bill
"What unusual anatomical characteristic does the koala possess?
",All of these
"The koala is the only animal species on the planet to possess this quality.
",Its brain size is extremely reduced.
"What does the Greek word Phascolarctos, denoting the genus to which koalas belong, mean?
",Pouch bear
"When anxious, the koala produces a loud sound similar to the cry made by this creature.
",Human baby
"What is the literal meaning of the word giraffe considering its Arabic origin?
",Tall
"Which of these statements is wrong?
",The giraffe is the only surviving member of its genus.
"What term is used for the behavior exhibited by male giraffes that are engaged in a fight?
",Necking
"Giraffes sometimes use their extremely long blue tongues for this purpose.
",Cleaning insects from their face
"Which of these giraffe subspecies is easily distinguished by the very light colored spots on its body?
",West African Giraffe
"The horns of which giraffes are very often bald on top?
",Males
"Of all mammals, giraffes require the least amount of which of the following?
",Sleep
"This artiodactyl mammal is the closest surviving relative of the giraffe.
",Okapi
"What is the largest living subspecies of giraffe on the planet?
",Masai Giraffe
"What method of defense do giraffes most often employ against predator attacks?
",Kicking
"What does the name of the zebra literally mean?
",Wild ass
"Which of the senses of zebras is generally underdeveloped and the animal cannot rely very much on it?
",None of these
"What animal is the number one predator of zebras?
",Lion
"What is the term denoting a group of zebras that live together?
",Harem
"Unfortunately this fictional dog is constantly bullied by his buddy cat.
",Odie
"Which cartoon dog is one of Mickey Mouses best friends?
",Goofy
"Which Rough Collie was awarded a star on the Hollywood Walk of Fame?
",Lassie
"What is the real name of the dog who first played the fictitious dog Benji in the series of Benji films?
",Higgins
"This dog, whose name means barker in Russian, became the first living creature from Earth to enter orbit.
",Laika
"This dog, who first showed up in a Bud Light Beer Super Bowl ad, had a black circle around one eye.
",Spuds MacKenzie
"Name the Red Baron hunting Beagle from Charles Schultz popular comic strip, Peanuts.
",Snoopy
"This cartoon Great Dane often needs his nephew headstrong nephew to protect him.
",Scooby
"Which of these is the most distinctive feature of one of the largest marine creatures, which is also known to be the best diver - the sperm whale?
",Its enormous head
"Giant squids, for long believed to be mythical creatures, are a type of deep-ocean dwelling squid that can grow to a tremendous size. The giant squid also holds the record for the largest organ, in which of these bodily systems?
",Visual system
"In Herman Melvilles Moby-Dick, the leading character Ahab, consumed with the desire for revenge for his lost leg, mindlessly pursues a whale nicknamed Moby Dick. What type of whale is Moby Dick, according to the book?
",Sperm whale
"This member of the oceanic dolphin family, named for its versatile predatory habits, cannot be mistaken with any other sea creature, due to its distinctive coloration - black back, white chest, sides, and a patch above and behind each eye.
",Killer whale
"In marine science, ichthyology, branch of zoology closely related to marine biology and oceanography, is the study of what?
",Fish
"Devilfish, a large species of ray, also called manta, was named such due to which of these characteristic features?
",Two pointed lobes on each side of the head
"Periplaneta americana, Blattella germanica and Gromphadorhina portentosa are all species of this insect.
",Cockroach
"It is the national insect of Canada and the state insect of Texas.
",Monarch butterfly
"Many Royal Navy and US Navy ships are named after this fearful insect. Not just that, but an F/A-18 aircraft and a Honda motorcycle also carry its name.
",Hornet
"The scarab, a sacred beetle to Ancient Egyptians, is commonly known as what?
",Dung Beetle
"What is the common length of a full grown male Komodo Dragon?
",9 feet
"The Komodo Dragon is NOT native to which of these islands?
",Savalhi
"How heavy was the largest verified wild Komodo Dragon?
",365 lbs.
"The Komodo Dragon is venomous.
",True
"What is the top speed that a Komodo Dragon can reach?
",13 mph
"The Komodo Dragon is only one of 3 species of venomous lizards in the world.
",False
"Which of these American zoos does NOT house Komodo Dragons?
",Bronx Zoo
"Female Komodo Dragons can lay eggs without any contact with males.
",True
"How fast can a black bear run?
",48 km/hour
"Are all bears omnivores?
",No
"Which of the following is not a nickname for a polar bear?
",Great bear
"At what age can grizzly bears start to mate?
",4 and a half year
"Do polar bears live in Antarctica?
",No
"How many years does a mother grizzly stay with her cubs?
",1and a half to 3 and a half years
"How many polar bear subspecies are there?
",0
"Which of these animals usually preys on black bear cubs?
",Cougar
"What of these members of the bear family is the largest?
",Polar bear
"Where do orphaned grizzly cubs Grinder and Coola live?
",British Columbia
"There are just 2 species of turkey in the world.
",True
"Are wild turkeys very good fliers?
",Yes
"Turkeys are named after the country of Turkey.
",True
"How many eggs does a turkey usually lay?
",8-15
"Turkeys like to roost high in trees at night.
",True
"Turkeys were once threatened with extinction in America.
",True
"Did all Indian tribes of North America eat turkeys or consider them to be edible?
",No
"Male turkeys are monogamous and will stay with one female for life.
",False
"A cats sense of hearing is much more sensitive than that of a human or a dog.
",True
"How fast can a domestic cat sprint?
",30 MPH
"Which of these statements if true about a cat?
",Their urine glows under a black light.
"The nose pad of a cat is unique like the human fingerprint.
",True
"According to a survey, what percentage of American cat owners admit to blow drying their feline after giving it a bath?
",25%
"Which type of cat is almost always female?
",Calico
"Cats have 517 of these in their entire body.
",Muscles
"Indoor cats tend to live longer.
",True
"What year was the very first cat show held?
",1895
"Which of these is not one of the most popular names for female cats in the USA?
",Socks
"Finish this old phrase:
","en you call a dog, he comes right over to you. When you call a cat, she________________."
"On what continent can aardvarks be found?
",Africa
"Are aardvarks an endangered species?
",No
"What is the scientific name for an aardvark?
",Orycteropus afer
"Aardvark is a word coming from the Afrikaans/Dutch that literally translates as what?
",Earth Pig
"How many young can an adult aardvark have at one time?
",only 1
"What is the gestation period for an aardvark?
",7 months
"Are aardvarks nocturnal animals?
",Yes
"Aardvarks have more olfactory nerves than other mammals.
",True
"Which one of these statements about aardvarks is false?
",Aardvarks only eat termites.
"What color was the aardvark from the Pink Panther cartoon?
",Blue
"What is the gestation period of a dolphin?
",Varies by species
"The Orca (Killer Whale) is the largest species of dolphin.
",True
"Which of these is NOT a species of dolphin?
",Eastern Dolphin
"Dolphins are only found in the ocean.
",False
"What year was named by the United Nations as the Year of the Dolphin?
",2007
"Approximately, how many species of dolphins exist?
",40
"Are all dolphins considered whales?
",Yes
"Where in the world can you find the dolphin known as the Boto?
",South America
"What is the scientific name of the Common Raccoon?
",Procyon lotor
"Which of these in NOT a species of raccoon?
",Tree Raccoon
"In Toronto, Canada the raccoon has become a great urban pest, only exceeded by the Gray Squirrel.
",True
"Is the raccoon native to Europe?
",No
"Are badgers related to weasels?
",Yes
"How many young can an adult badger have at one time?
",1-5
"The badger can be found in every part of the lower 48 states.
",False
"Can you find badgers in Europe?
",Yes
"Which of these is not a part of the badgers diet?
",Insects
"Badgers like to use one den all year round.
",False
"Are badgers the largest native carnivores found in the UK?
",Yes
"The expression badgering someoneâ€ came from the cruel sport of badger baiting.
",True
"Which of the following octopuses could most easily kill a human?
",The Blue Ringed Octopus
"How many hearts do most octopi have?
",3
"Which of the following best defines the octopus related word midden?
",a pile of shells
"Octopi live alone all their lives except when mating.
",True
"The octopus is considered the smartest invertebrate.
",True
"Which of the following is the name for an octopuss tongue?
",Radula
"Octopuses have excellent vision. Which of the following statements about an octopuss vision is NOT true?
",They can see in color.
"Which of the following octopi has the scientific name Enteroctopus Dofleini?
",Giant Pacific Octopus
"A starfish is a type of fish.
",False
"Which of the following words is NOT related to the octopus?
",Tentacles
"What two continents did Smilodon inhabit?
",North and South America
"How much could a full-grown Smilodon weigh?
",450 lbs.
"Is it believed that Smilodon was a social animal?
",Yes
"Which species of Smilodon was the largest?
",Smilodon populator
"Approximately how long ago did Smilodon become extinct?
","10,000 years"
"The Tomato Frog is native to the eastern coast of Madagascar.
",True
"What king of habitat do Tomato Frogs live in?
","in marshes, shallow pools, flooded meadows, and wetlands"
"Tomato Frogs existence is threatened due to what reason?
",Habitat destruction
"Tomato Frogs tend to hit sexual maturity in about 9-14 months.
",True
"Male Tomato Frogs are bright red.
",False
"Female Tomato Frogs are larger than male Tomato Frogs.
",True
"When Tomato Frogs are in captivity at a zoo, what kind of food are they fed?
",Vitamin-dusted crickets and mealworms.
"Tomato Frogs lay their eggs in the water during rainy seasons.
",True
"The life span of a Tomato Frog is 15-35 years.
",False
"When the Tomato Frog is threatened its skin secretes a thick substance containing a toxin.
",True
"The manatee is a marine mammal.
",True
"The manatee has a tail similar in shape to that of the dolphin.
",False
"Manatees range in weight from 900 to 1200 pounds (400-550 kg.)
",True
"Manatees are found more commonly in Caribbean, Mexico, and Florida waters. Why?
",The water is warm.
"Which of these do manatees use to communicate with their calves and other manatees?
",All of these
"Due to the presence of a specific protein in the blood plasma octopuses have this unusual blood color.
",Blue
"Some animals have an inborn instinct to swallow gastroliths in order to improve the breaking down of food inside their stomachs. What kind of objects are gastroliths?
",Rocks
"Parthenogenesis (from Greek - virgin creation), an asexual way of reproduction without the need of fertilization, occurs naturally in these animals.
",All of these
"Which of  the following statements is true about mosquitoes?
",Only female mosquitoes suck blood.
"What kind of respiratory organs do lungfish have?
",They have both lungs and gills.
"Cockroaches are among the most resilient creatures on our planet. But how long can they survive without air?
",45 minutes
"Human skin has the unique ability to acquire a darker shade when exposed to UV-rays. What animals share this ability with us?
",Pigs and hammerhead sharks
"Koalas almost exclusively feed on this type of food.
",Eucalyptus leaves
"Which of the following statements is true about snails?
",Snails do have tooth-like formations.
"Some sharks hardly ever stop swimming during their whole existence. What is the reason for this?
","Some sharks have lost the ability to pump water through their gills, so they need to keep moving in order to stay alive"
"The Mimic Leatherjacket, found in the tropical marine waters throughout the Indo-Pacific, mimics which poisonous fish?
",Saddled Puffer
"This primitive shark, with a brown thin eel-like body, has six pairs of gill slits and trident-like teeth.
",Frilled shark
"This fish, which resembles the Angel fish, is recognized by its brightly coloured and patterned body, as well as by the dark band across its eyes.
",Butterfly fish
"The Parrot fish, found in the Atlantic Indian and Pacific Ocean reefs, was given its name for what reason?
",Because of its beak-like mouth
"What is the other name of Mola mola, a fish generally considered to be the most massive bony fish in the world?
",Ocean Sunfish
"When threatened, this fish, also known as balloonfish, increases in size by swallowing water or air.
",Porcupinefish
"The zebrafish (Girella zebra), which can be recognised by its pale body and yellow fins, is endemic to which region?
",Australian waters
"The Flashlight fish, has a light-producing organ, which contains luminescent bacteria. Where is this organ located?
",Below the eye of the fish
"The catfishes Physailia pellucida and Kryptopterus bicirrhis, found in the mid-waters of Southeast Asia, use what kind of camouflage?
",Transparency
"Giant Pandas eat oranges and bananas.
",True
"Is the Giant Panda an endangered species?
",Yes
"The Giant Panda and which of the following serve as an Asian countrys national emblem?
",The dragon
"Do Giant Pandas hibernate?
",No
"What is the gestation period of the Giant Panda?
",95-160 days
"This animal is the second most expensive for zoos to maintain after the Giant Panda.
",Elephant
"The giant pandas diet is 99% this.
",bamboo
"Pandas live in the mountains in the Sichuan, Shaanxi, and Gansu provinces in this country.
",China
"At birth, pandas weigh about 4 ounces and are the size of a stick of butter. Which of these is NOT true about a newborn panda?
",They are grey in color.
"Pandas do not hibernate.
",True
"Pandas live and travel together.
",False
"Pandas spend 10-16 hours a day eating, the rest of the time they are usually resting. When are pandas most active?
",at dusk and at dawn
"When a panda is born, it is impossible to tell if it is male or female. How old is the panda before its gender is known?
",4 years
"Which of these is TRUE about pandas?
",They are carnivores.
"How long does a panda usually live in captivity?
",20 - 30 years
"The panda is the symbol of this conservation organization, formed in 1961.
",The World Wildlife Fund
"The panda has an enlarged wristbone that works as an opposable thumb.
",True
"Pandas are known to roar.
",False
"In the 1930s movie King Kong, the giant ape battles a pterodactyl.
",True
"How many stomachs does a starfish have?
",2
"A starfish cannot regenerate a lost arm.
",False
"All starfish have 5 arms.
",False
"In which country is the Gohongaze Starfish considered an edible delicacy?
",Japan
"Starfish are capable of both asexual and sexual reproduction.
",True
"Starfish are fast moving creatures.
",False
"There are two classes of starfish. Name them.
",Sea Star and Brittle Stars
"Which of these is not a relative of the starfish?
",Sea Horse
"What is located on the end of every arm of a starfish?
",Eye
"Scorpions are active at night in order to avoid which of their predators?
",All of these
"Raccoons are usually nocturnal animals, and they are famous for dousing their food before eating it. This is actually an activity that imitates foraging for food at shores. What is the term for such an activity?
",Vacuum activity
"What sense helps kiwis find food in the dark?
",Sense of smell
"Kakapo is a nocturnal parrot indigenous to New Zealand. Due to its resemblance to this nocturnal animal, it is also called by its name.
",Owl
"Mink are mainly active at night and they do not hibernate. Which of these animals is a predator of the American Mink?
",All of these
"What animal is the largest nocturnal prosimian on the planet?
",Aye-aye
"Catfish are bony fish that are active in the nighttime. How did they get their interesting name?
",They have barbels that remind of cat whiskers.
"Fireflies are known for their ability to produce light of this color.
",All of these
"The Ocelot is a nocturnal cat that is also called by this name in certain regions.
",All of these
"Tapeti is a nocturnal cottontail rabbit that is indigenous to these areas.
",Central and South America
"What is the average speed dolphins can reach?
",16.5 km/hr
"How deep can a bottlenose dolphin dive?
",300 meters
"How many different species of dolphins are there in the world?
",32
"Is dolphins sense of hearing superior to that of humans?
",Yes
"How do dolphins generally sleep if they are in the wild?
",with only one brain hemisphere in slow-wave sleep
"Which is the smallest species of dolphin?
",Maui Dolphin/Hectors Dolphin
"Which of these statements is true about squirrels?
",All of these
"Which of these statements is true about the tongue of the giraffe?
",All of these
"Which of these statements is true about elephants?
",They are able to digest 40% of their food.
"Which of these statements is true about grasshoppers?
",All of these
"Which of these foods does the Canada goose include in its diet?
",All of these
"Which of these statements is true about the digestive system of the Hoatzin, a herbivorous tropical bird?
",It breaks down its food through bacterial fermentation.
"What is the meaning of the term graminivore?
",an animal that feeds on grass
"What kind of herbivorous animals are the granivores?
",Animals that feed on seeds
"Which of these statements is true about the diet of Green iguanas?
",All of these
"Which of these statements is true about the diet of the Sumatran rhinoceros?
",It feeds mainly in the morning and before dusk.
"Which continents does the natural habitat of the jaguar span upon?
",North and South America
"The jaguars extremely powerful bite, which can pierce through a turtles shell, makes it the mammal with the strongest jaw in the animal kingdom.
",False
